"Študenti in dijaki štipendisti po: REGIJA ŠTIPENDITORJA, ŠTIPENDISTI,"
"VRSTA ŠTIPENDIJE, LETO , MERITVE"

" ";" ";" ";"2008";"2009";"2010";"2011"
" ";" ";" ";"Število";"Število";"Število";"Število"
"Pomurska"
" ";"Dijaki"
" ";" ";"Kadrovske štipendije - Skupaj";68;76;10;7
" ";" ";"Kadrovske štipendije sofinancirane posredno";50;63;-;-
" ";" ";"Kadrovske štipendije sofinancirane neposredno";-;1;-;-
" ";" ";"Kadrovske štipendije nesofinancirane";18;12;10;7
" ";" ";"Državne štipendije";-;-;-;-
" ";" ";"Zoisove štipendije";157;104;63;-
" ";" ";"Štipendije za Slovence v zamejstvu in po svetu";-;-;-;-
" ";" ";"Druge štipendije";-;-;-;-
" ";"Študentje"
" ";" ";"Kadrovske štipendije - Skupaj";153;158;43;37
" ";" ";"Kadrovske štipendije sofinancirane posredno";94;101;-;-
" ";" ";"Kadrovske štipendije sofinancirane neposredno";-;4;-;-
" ";" ";"Kadrovske štipendije nesofinancirane";59;53;43;37
" ";" ";"Državne štipendije";-;-;-;-
" ";" ";"Zoisove štipendije";259;195;122;73
" ";" ";"Štipendije za Slovence v zamejstvu in po svetu";-;-;-;-
" ";" ";"Druge štipendije";-;-;-;-
"Podravska"
" ";"Dijaki"
" ";" ";"Kadrovske štipendije - Skupaj";197;199;123;125
" ";" ";"Kadrovske štipendije sofinancirane posredno";31;36;-;-
" ";" ";"Kadrovske štipendije sofinancirane neposredno";-;2;-;-
" ";" ";"Kadrovske štipendije nesofinancirane";166;161;123;125
" ";" ";"Državne štipendije";-;-;-;-
" ";" ";"Zoisove štipendije";526;331;168;2
" ";" ";"Štipendije za Slovence v zamejstvu in po svetu";-;-;-;-
" ";" ";"Druge štipendije";1;-;-;-
" ";"Študentje"
" ";" ";"Kadrovske štipendije - Skupaj";430;411;312;284
" ";" ";"Kadrovske štipendije sofinancirane posredno";21;20;-;-
" ";" ";"Kadrovske štipendije sofinancirane neposredno";-;18;-;-
" ";" ";"Kadrovske štipendije nesofinancirane";409;373;312;284
" ";" ";"Državne štipendije";-;-;-;-
" ";" ";"Zoisove štipendije";898;691;427;257
" ";" ";"Štipendije za Slovence v zamejstvu in po svetu";-;-;-;-
" ";" ";"Druge štipendije";8;-;-;-
"Koroška"
" ";"Dijaki"
" ";" ";"Kadrovske štipendije - Skupaj";83;78;14;15
